                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.36606,                0.30133,                0.87105,                0.99823,                0.94737,                 0.9925,                0.92958,                0.32297,                0.30062,                0.81562,              0.0010211,              0.0010211,              0.0010211
                     66,                   0.43,                0.32772,                0.88462,                0.99484,                      1,                  0.995,                 0.9556,                0.27717,                0.26945,                0.79861,              0.0010325,              0.0010325,              0.0010325
                     67,                0.42266,                 0.3316,                0.87351,                0.99806,                      1,                  0.995,                0.95131,                0.31648,                0.30381,                0.80084,              0.0010437,              0.0010437,              0.0010437
                     68,                0.43377,                0.32073,                0.87334,                0.99701,                      1,                  0.995,                0.92555,                0.34736,                0.31335,                 0.8073,              0.0010548,              0.0010548,              0.0010548
                     69,                0.42768,                0.32844,                0.89066,                0.99571,                      1,                  0.995,                0.95805,                0.31873,                0.29511,                0.80226,              0.0010658,              0.0010658,              0.0010658
                     70,                0.40644,                0.31807,                0.87834,                0.99503,                      1,                  0.995,                0.95031,                0.31299,                0.29192,                0.80154,              0.0010766,              0.0010766,              0.0010766
                     71,                0.42458,                0.33407,                0.88354,                0.99274,                      1,                  0.995,                0.97014,                0.28111,                0.32727,                0.79936,              0.0010873,              0.0010873,              0.0010873
                     72,                0.40374,                0.30491,                0.87263,                0.98938,                      1,                  0.995,                0.97218,                0.28818,                0.32873,                0.79859,              0.0010979,              0.0010979,              0.0010979
                     73,                0.41908,                0.32047,                0.90161,                0.98668,                      1,                  0.995,                0.98068,                0.28623,                0.29068,                0.80327,              0.0011083,              0.0011083,              0.0011083
                     74,                0.43788,                0.33448,                0.89447,                0.94401,                      1,                 0.9925,                0.94519,                0.31552,                0.27609,                0.80665,              0.0011186,              0.0011186,              0.0011186
                     75,                0.44037,                0.31675,                0.88454,                      1,                0.99961,                  0.995,                0.95922,                0.31467,                0.26227,                0.80566,              0.0011287,              0.0011287,              0.0011287
                     76,                0.40087,                0.32229,                0.87312,                0.99728,                      1,                  0.995,                0.92886,                 0.3131,                0.28459,                0.81092,              0.0011388,              0.0011388,              0.0011388
